iter	Passed	Remaining
0	0	93
1	1	60
2	1	47
3	1	40
4	1	36
5	2	35
6	2	32
7	2	30
8	2	28
9	3	27
10	3	26
11	3	25
12	3	24
13	3	23
14	4	22
15	4	22
16	4	21
17	4	21
18	4	21
19	5	20
20	5	20
21	5	19
22	5	19
23	6	19
24	6	18
25	6	18
26	6	18
27	6	17
28	7	17
29	7	17
30	7	16
31	7	16
32	8	16
33	8	15
34	8	15
35	8	15
36	8	15
37	9	14
38	9	14
39	9	14
40	9	13
41	9	13
42	9	13
43	10	12
44	10	12
45	10	12
46	10	12
47	10	11
48	11	11
49	11	11
50	11	11
51	11	10
52	12	10
53	12	10
54	12	10
55	12	9
56	12	9
57	12	9
58	13	9
59	13	8
60	13	8
61	13	8
62	13	8
63	14	7
64	15	8
65	15	7
66	15	7
67	15	7
68	16	7
69	16	7
70	16	6
71	16	6
72	17	6
73	17	6
74	17	5
75	17	5
76	18	5
77	18	5
78	18	4
79	18	4
80	19	4
81	19	4
82	19	4
83	19	3
84	20	3
85	20	3
86	21	3
87	21	2
88	21	2
89	22	2
90	22	2
91	22	1
92	22	1
93	23	1
94	23	1
95	23	0
96	24	0
97	24	0
98	24	0
99	24	0
