iter	Passed	Remaining
0	56	56257
1	56	28281
2	56	18936
3	57	14287
4	57	11481
5	57	9608
6	58	8287
7	58	7290
8	59	6514
9	59	5890
10	59	5381
11	60	4957
12	60	4598
13	60	4292
14	61	4019
15	61	3782
16	61	3575
17	62	3389
18	62	3228
19	62	3081
20	63	2946
21	63	2825
22	63	2713
23	64	2609
24	65	2544
25	65	2452
26	65	2371
27	66	2296
28	66	2224
29	66	2159
30	67	2095
31	67	2037
32	67	1984
33	68	1933
34	68	1883
35	68	1838
36	69	1797
37	69	1756
38	69	1717
39	69	1679
40	70	1644
41	70	1610
42	70	1579
43	71	1547
44	71	1518
45	71	1490
46	72	1463
47	72	1437
48	72	1412
49	73	1387
50	73	1365
51	73	1344
52	74	1323
53	74	1302
54	74	1282
55	74	1263
56	75	1245
57	75	1228
58	75	1210
59	76	1195
60	76	1179
61	77	1165
62	77	1150
63	77	1136
64	78	1122
65	78	1108
66	78	1094
67	78	1080
68	79	1068
69	79	1056
70	79	1043
71	80	1032
72	80	1020
73	80	1008
74	80	998
75	81	987
76	81	978
77	82	970
78	82	960
79	82	951
80	82	941
81	83	931
82	83	920
83	83	912
84	84	904
85	84	896
86	84	888
87	84	880
88	85	872
89	85	864
90	85	858
91	86	851
92	86	844
93	86	836
94	87	829
95	87	823
96	87	816
97	87	809
98	88	803
99	88	797
100	88	791
101	89	786
102	89	781
103	90	776
104	90	770
105	90	766
106	91	760
107	91	755
108	91	749
109	92	745
110	92	740
111	92	735
112	93	730
113	93	726
114	93	721
115	93	715
116	94	710
117	94	706
118	94	701
119	95	697
120	95	693
121	95	688
122	96	684
123	96	680
124	96	678
125	97	675
126	97	671
127	97	667
128	98	664
129	98	660
130	98	656
131	99	652
132	99	648
133	99	645
134	100	641
135	100	637
136	100	634
137	100	630
138	101	627
139	101	624
140	101	621
141	102	616
142	102	613
143	102	610
144	103	607
145	103	604
146	103	601
147	103	598
148	104	596
149	104	593
150	105	590
151	105	587
152	105	584
153	105	581
154	106	579
155	106	576
156	106	573
157	107	571
158	107	568
159	107	565
160	107	562
161	108	561
162	108	559
163	109	557
164	109	554
165	109	552
166	110	550
167	110	547
168	110	545
169	111	542
170	111	540
171	111	538
172	112	536
173	112	534
174	112	532
175	113	530
176	113	528
177	113	526
178	114	524
179	114	522
180	115	520
181	115	517
182	115	515
183	115	513
184	116	511
185	116	509
186	116	508
187	117	505
188	117	503
189	117	501
190	117	499
191	118	497
192	118	495
193	118	493
194	119	491
195	119	490
196	119	489
197	120	487
198	120	485
199	121	484
200	121	482
201	121	480
202	121	478
203	122	477
204	122	475
205	123	474
206	123	472
207	123	470
208	123	469
209	124	467
210	124	466
211	124	464
212	125	463
213	125	461
214	125	459
215	126	458
216	126	456
217	126	455
218	127	454
219	127	452
220	128	451
221	128	449
222	128	448
223	128	446
224	129	445
225	129	443
226	129	441
227	130	440
228	130	438
229	130	437
230	130	435
231	131	434
232	131	433
233	132	432
234	132	430
235	132	429
236	133	428
237	133	427
238	133	425
239	134	424
240	134	423
241	135	424
242	135	423
243	136	422
244	136	421
245	137	420
246	137	419
247	137	417
248	138	416
249	138	415
250	138	414
251	139	413
252	139	411
253	139	410
254	140	409
255	140	408
256	140	407
257	141	406
258	141	404
259	141	403
260	142	402
261	142	401
262	142	400
263	143	399
264	143	397
265	143	396
266	144	395
267	144	394
268	144	393
269	145	392
270	145	391
271	145	390
272	146	389
273	146	388
274	146	387
275	147	386
276	147	385
277	147	383
278	148	382
279	148	381
280	148	380
281	148	379
282	149	378
283	149	377
284	150	376
285	150	375
286	150	374
287	151	373
288	151	372
289	151	371
290	151	370
291	152	369
292	152	368
293	153	367
294	153	366
295	153	365
296	154	364
297	154	363
298	154	362
299	154	361
300	155	360
301	155	359
302	155	358
303	156	357
304	156	356
305	156	355
306	156	354
307	157	353
308	157	352
309	157	351
310	158	350
311	158	349
312	158	348
313	159	347
314	159	347
315	159	346
316	160	345
317	160	344
318	160	343
319	161	342
320	161	341
321	161	340
322	162	339
323	162	338
324	162	337
325	162	336
326	163	335
327	163	334
328	163	334
329	164	333
330	164	332
331	164	331
332	165	331
333	165	330
334	165	329
335	166	328
336	166	327
337	166	326
338	167	326
339	167	325
340	167	324
341	168	323
342	168	322
343	168	322
344	169	321
345	169	320
346	169	319
347	170	318
348	170	317
349	170	317
350	171	316
351	171	315
352	171	314
353	172	314
354	172	313
355	172	312
356	173	311
357	173	311
358	173	310
359	174	309
360	174	308
361	174	308
362	175	307
363	175	306
364	175	306
365	176	305
366	176	304
367	176	303
368	177	302
369	177	301
370	177	300
371	177	299
372	177	299
373	178	298
374	178	297
375	178	296
376	178	295
377	179	294
378	179	294
379	179	293
380	179	292
381	180	291
382	180	290
383	180	290
384	181	289
385	181	288
386	181	287
387	182	287
388	182	286
389	182	285
390	182	284
391	182	283
392	183	282
393	183	282
394	183	281
395	183	280
396	184	279
397	184	278
398	184	278
399	184	277
400	185	276
401	185	275
402	185	275
403	185	274
404	186	273
405	186	272
406	186	272
407	187	271
408	187	270
409	187	269
410	187	269
411	188	268
412	188	267
413	188	267
414	189	266
415	189	265
416	189	264
417	189	264
418	190	263
419	190	262
420	190	261
421	190	261
422	191	260
423	191	259
424	191	259
425	191	258
426	191	257
427	192	256
428	192	256
429	192	255
430	193	254
431	193	254
432	193	253
433	193	252
434	193	251
435	194	251
436	194	250
437	194	249
438	194	249
439	195	248
440	195	247
441	195	247
442	195	246
443	196	245
444	196	245
445	196	244
446	197	243
447	197	243
448	197	242
449	197	241
450	198	241
451	198	240
452	198	239
453	198	238
454	198	238
455	199	237
456	199	236
457	199	236
458	199	235
459	200	234
460	200	234
461	200	233
462	200	232
463	201	232
464	201	231
465	201	231
466	201	230
467	202	229
468	202	229
469	202	228
470	202	227
471	203	227
472	203	226
473	203	225
474	203	225
475	203	224
476	204	223
477	204	223
478	204	222
479	204	221
480	205	221
481	205	220
482	205	220
483	205	219
484	206	218
485	206	218
486	206	217
487	206	217
488	207	216
489	207	215
490	207	215
491	207	214
492	208	214
493	208	213
494	208	212
495	208	212
496	209	211
497	209	210
498	209	210
499	209	209
500	210	209
501	210	208
502	210	207
503	210	207
504	210	206
505	211	206
506	211	205
507	211	205
508	212	204
509	212	204
510	212	203
511	213	203
512	213	202
513	213	201
514	213	201
515	214	200
516	214	200
517	214	199
518	214	199
519	214	198
520	215	197
521	215	197
522	215	196
523	215	196
524	216	195
525	216	194
526	216	194
527	216	193
528	217	193
529	217	192
530	217	192
531	217	191
532	217	191
533	218	190
534	218	190
535	218	189
536	219	188
537	219	188
538	219	187
539	219	187
540	220	186
541	220	186
542	220	185
543	221	185
544	221	184
545	221	184
546	221	183
547	222	183
548	222	182
549	222	182
550	223	181
551	223	181
552	223	180
553	223	180
554	224	179
555	224	179
556	224	178
557	224	177
558	224	177
559	225	176
560	225	176
561	225	175
562	226	175
563	226	174
564	226	174
565	226	173
566	226	173
567	227	172
568	227	172
569	227	171
570	227	171
571	228	170
572	228	170
573	228	169
574	228	169
575	229	168
576	229	168
577	229	167
578	229	167
579	230	166
580	230	166
581	230	165
582	230	165
583	230	164
584	231	164
585	231	163
586	231	163
587	231	162
588	232	162
589	232	161
590	232	161
591	232	160
592	233	160
593	233	159
594	233	159
595	234	158
596	234	158
597	234	157
598	235	157
599	235	156
600	235	156
601	235	155
602	236	155
603	236	155
604	236	154
605	237	154
606	237	153
607	237	153
608	237	152
609	238	152
610	238	151
611	238	151
612	239	150
613	239	150
614	239	149
615	239	149
616	240	149
617	240	148
618	240	148
619	240	147
620	241	147
621	241	146
622	241	146
623	242	145
624	242	145
625	242	144
626	242	144
627	243	143
628	243	143
629	243	142
630	243	142
631	243	142
632	244	141
633	244	141
634	244	140
635	245	140
636	245	139
637	245	139
638	245	138
639	246	138
640	246	138
641	247	137
642	247	137
643	247	136
644	247	136
645	248	135
646	248	135
647	248	134
648	248	134
649	248	134
650	249	133
651	249	133
652	249	132
653	249	132
654	250	131
655	250	131
656	250	130
657	250	130
658	251	129
659	251	129
660	251	129
661	251	128
662	252	128
663	252	127
664	252	127
665	252	126
666	253	126
667	253	125
668	253	125
669	253	124
670	253	124
671	254	124
672	254	123
673	254	123
674	255	122
675	255	122
676	255	121
677	255	121
678	255	120
679	256	120
680	256	120
681	256	119
682	256	119
683	257	118
684	257	118
685	257	117
686	257	117
687	258	117
688	258	116
689	258	116
690	258	115
691	258	115
692	259	114
693	259	114
694	259	113
695	259	113
696	260	113
697	260	112
698	260	112
699	260	111
700	261	111
701	261	110
702	261	110
703	261	110
704	262	109
705	262	109
706	262	108
707	262	108
708	263	108
709	263	107
710	263	107
711	263	106
712	264	106
713	264	105
714	264	105
715	264	105
716	265	104
717	265	104
718	265	103
719	265	103
720	266	102
721	266	102
722	266	102
723	266	101
724	267	101
725	267	100
726	267	100
727	267	100
728	267	99
729	268	99
730	268	98
731	268	98
732	268	97
733	269	97
734	269	97
735	269	96
736	269	96
737	269	95
738	270	95
739	270	95
740	270	94
741	270	94
742	271	93
743	271	93
744	271	92
745	271	92
746	272	92
747	272	91
748	272	91
749	272	90
750	273	90
751	273	90
752	273	89
753	273	89
754	274	88
755	274	88
756	274	88
757	274	87
758	275	87
759	275	86
760	275	86
761	275	86
762	275	85
763	276	85
764	276	84
765	276	84
766	276	84
767	277	83
768	277	83
769	277	82
770	277	82
771	278	82
772	278	81
773	278	81
774	278	80
775	279	80
776	279	80
777	279	79
778	280	79
779	280	79
780	280	78
781	280	78
782	281	77
783	281	77
784	281	77
785	281	76
786	281	76
787	282	75
788	282	75
789	282	75
790	282	74
791	283	74
792	283	73
793	283	73
794	283	73
795	284	72
796	284	72
797	284	72
798	284	71
799	285	71
800	285	70
801	285	70
802	285	70
803	286	69
804	286	69
805	286	68
806	286	68
807	286	68
808	287	67
809	287	67
810	287	67
811	287	66
812	288	66
813	288	65
814	288	65
815	288	65
816	289	64
817	289	64
818	289	63
819	289	63
820	290	63
821	290	62
822	290	62
823	290	62
824	290	61
825	291	61
826	291	60
827	291	60
828	291	60
829	292	59
830	292	59
831	292	59
832	292	58
833	293	58
834	293	57
835	293	57
836	294	57
837	294	56
838	294	56
839	294	56
840	294	55
841	295	55
842	295	55
843	295	54
844	295	54
845	296	53
846	296	53
847	296	53
848	296	52
849	297	52
850	297	52
851	297	51
852	297	51
853	297	50
854	298	50
855	298	50
856	298	49
857	298	49
858	299	49
859	299	48
860	299	48
861	299	48
862	300	47
863	300	47
864	300	46
865	300	46
866	301	46
867	301	45
868	301	45
869	301	45
870	302	44
871	302	44
872	302	44
873	302	43
874	302	43
875	303	42
876	303	42
877	303	42
878	303	41
879	304	41
880	304	41
881	304	40
882	304	40
883	305	40
884	305	39
885	305	39
886	305	38
887	305	38
888	306	38
889	306	37
890	306	37
891	306	37
892	307	36
893	307	36
894	307	36
895	307	35
896	308	35
897	308	35
898	308	34
899	308	34
900	309	33
901	309	33
902	309	33
903	309	32
904	310	32
905	310	32
906	310	31
907	310	31
908	311	31
909	311	30
910	311	30
911	311	30
912	312	29
913	312	29
914	312	29
915	312	28
916	312	28
917	313	27
918	313	27
919	313	27
920	313	26
921	314	26
922	314	26
923	314	25
924	314	25
925	315	25
926	315	24
927	315	24
928	315	24
929	315	23
930	316	23
931	316	23
932	316	22
933	316	22
934	317	22
935	317	21
936	317	21
937	318	21
938	318	20
939	318	20
940	318	19
941	318	19
942	319	19
943	319	18
944	319	18
945	319	18
946	320	17
947	320	17
948	320	17
949	320	16
950	321	16
951	321	16
952	321	15
953	321	15
954	321	15
955	322	14
956	322	14
957	322	14
958	322	13
959	323	13
960	323	13
961	323	12
962	323	12
963	324	12
964	324	11
965	324	11
966	324	11
967	324	10
968	325	10
969	325	10
970	325	9
971	326	9
972	326	9
973	326	8
974	326	8
975	326	8
976	327	7
977	327	7
978	327	7
979	327	6
980	328	6
981	328	6
982	328	5
983	328	5
984	329	5
985	329	4
986	329	4
987	329	4
988	330	3
989	330	3
990	330	3
991	330	2
992	330	2
993	331	1
994	331	1
995	331	1
996	331	0
997	332	0
998	332	0
999	332	0
