iter	Passed	Remaining
0	0	86
1	1	52
2	1	40
3	1	33
4	1	30
5	1	28
6	2	26
7	2	25
8	2	24
9	2	23
10	2	22
11	3	22
12	3	21
13	3	20
14	3	20
15	3	20
16	4	19
17	4	19
18	4	18
19	4	18
20	4	18
21	5	18
22	5	17
23	6	19
24	6	19
25	6	18
26	6	18
27	7	18
28	7	17
29	7	17
30	7	17
31	7	16
32	8	16
33	8	16
34	8	15
35	8	15
36	8	15
37	9	15
38	9	15
39	9	14
40	10	14
41	10	14
42	10	14
43	11	14
44	11	13
45	11	13
46	11	13
47	11	12
48	12	12
49	12	12
50	12	12
51	13	12
52	13	11
53	13	11
54	14	11
55	14	11
56	14	11
57	14	10
58	15	10
59	15	10
60	15	10
61	16	10
62	16	9
63	17	9
64	17	9
65	17	9
66	17	8
67	18	8
68	18	8
69	18	8
70	19	7
71	19	7
72	19	7
73	19	7
74	20	6
75	20	6
76	20	6
77	21	5
78	21	5
79	21	5
80	22	5
81	22	4
82	22	4
83	22	4
84	23	4
85	23	3
86	23	3
87	23	3
88	24	2
89	24	2
90	24	2
91	25	2
92	25	1
93	25	1
94	25	1
95	26	1
96	26	0
97	26	0
98	27	0
99	27	0
